sheet 1,sheet 2
-0.28589,1.53385
-0.29029,1.53315
-0.29476,1.53244
-0.29931,1.53171
-0.30393,1.53097
-0.30854,1.5301
-0.31321,1.52919
-0.31797,1.52826
-0.32281,1.52731
-0.32775,1.52634
-0.33276,1.52531
-0.33775,1.52415
-0.34285,1.52295
-0.34805,1.52174
-0.35337,1.5205
-0.35876,1.51918
-0.36413,1.51771
-0.36963,1.5162
-0.37525,1.51466
-0.38102,1.51308
-0.38675,1.51132
-0.39257,1.50948
-0.39853,1.50759
-0.40465,1.50564
-0.41074,1.50352
-0.41689,1.50128
-0.42321,1.49897
-0.4297,1.49661
-0.43604,1.49398
-0.44254,1.49127
-0.44922,1.48849
-0.45585,1.4855
-0.4625,1.48234
-0.46935,1.4791
-0.47613,1.47564
-0.48289,1.472
-0.48985,1.46825
-0.49662,1.46424
-0.50342,1.46007
-0.51036,1.45575
-0.51694,1.45113
-0.52369,1.44639
-0.53021,1.44139
-0.53664,1.4362
-0.54301,1.43081
-0.54901,1.42517
-0.55508,1.41937
-0.56055,1.4133
-0.56615,1.40709
-0.571,1.40061
-0.57594,1.39401
-0.58009,1.38717
-0.58427,1.38022
-0.58757,1.37308
-0.59082,1.36583
-0.59321,1.35845
-0.59541,1.35099
-0.59684,1.34345
-0.59792,1.33586
-0.59835,1.32825
-0.59826,1.32063
-0.59768,1.31304
-0.59643,1.30549
-0.59486,1.298
-0.59251,1.29063
-0.58998,1.28333
-0.58661,1.27621
-0.58319,1.26918
-0.57892,1.26238
-0.5747,1.25567
-0.56968,1.24924
-0.56475,1.24292
-0.55913,1.23689
-0.55359,1.23098
-0.54753,1.22536
-0.54148,1.21989
-0.53515,1.21467
-0.52869,1.20966
-0.52222,1.20481
-0.51544,1.20025
-0.50883,1.1958
-0.50196,1.19163
-0.49512,1.18762
-0.48842,1.18373
-0.48144,1.18014
-0.47463,1.17665
-0.46791,1.17329
-0.46103,1.1702
-0.45432,1.16719
-0.44774,1.16427
-0.441,1.16163
-0.43444,1.15905
-0.42803,1.15653
-0.42156,1.15423
-0.41516,1.15205
-0.40893,1.14992
-0.40282,1.14784
-0.39662,1.14601
-0.39056,1.14422
-0.38464,1.14247
-0.37885,1.14076
-0.37298,1.13927
-0.36724,1.13782
-0.36162,1.13641
-0.35612,1.13502
-0.35064,1.13375
-0.3452,1.13259
-0.33986,1.13145
-0.33462,1.13034
-0.32948,1.12925
-0.32435,1.12828
-0.31927,1.12739
-0.31427,1.12651
-0.30936,1.12565
-0.30453,1.1248
-0.29975,1.12401
-0.29497,1.12334
-0.29026,1.12269
-0.28562,1.12204
-0.28105,1.1214
-0.27653,1.12077
-0.27205,1.1202
-0.26758,1.11973
-0.26317,1.11927
-0.25881,1.11881
-0.25449,1.11836
-0.25023,1.11791
-0.246,1.11747
-0.24177,1.11716
-0.23758,1.11686
-0.23342,1.11656
-0.2293,1.11627
-0.22522,1.11598
-0.22116,1.11569
-0.21713,1.11542
-0.2131,1.11526
-0.20909,1.11511
-0.20511,1.11495
-0.20115,1.1148
-0.19721,1.11465
-0.19328,1.1145
-0.18937,1.11435
-0.18546,1.11432
-0.18155,1.11429
-0.17767,1.11427
-0.17378,1.11425
-0.16991,1.11422
-0.16604,1.1142
-0.16217,1.11418
-0.1583,1.11423
-0.15443,1.11433
-0.15057,1.11443
-0.14669,1.11453
-0.14282,1.11463
-0.13893,1.11473
-0.13503,1.11484
-0.13113,1.11497
-0.12722,1.1152
-0.1233,1.11543
-0.11937,1.11566
-0.11541,1.11589
-0.11144,1.11613
-0.10744,1.11636
-0.10342,1.11661
-0.09941,1.11697
-0.09536,1.11734
-0.09129,1.11772
-0.08719,1.11809
-0.08305,1.11847
